Year,Citation,Link,Category,Sub Cat,Quote, ,Background Purpose,Background Purpose (sub cat),further research
2021,"Kharitonova, J. S. (2021). Digital assets and digital inheritance. Law & Digital Technologies, 1(1), 19-26.",file:///Users/justingoldston/Downloads/Digital%20Assets%20and%20Digital%20Inheritance%20(1).pdf,,," The Italian inheritance law contains rules on the transfer of the personal data of the deceased. The rights relating to the deceased's personal data may be exercised by persons who act in their own interest or to protect the deceased's interests or for other reasons worthy of protection. However, the general GDPR does not establish specific rules on the transfer of the deceased's data. As is well known, the General Data Protection Regulation of 2016 (GDPR) does not apply to the personal data of deceased persons. It is therefore left to the Member States to provide for rules regarding the processing of the personal data of the deceased. Notwithstanding the absence of European indications on the specific issue, the GDPR has encouraged national legislatures to adopt specific measures regarding data protection for deceased persons.",,,,
2021,"Kharitonova, J. S. (2021). Digital assets and digital inheritance. Law & Digital Technologies, 1(1), 19-26.",file:///Users/justingoldston/Downloads/Digital%20Assets%20and%20Digital%20Inheritance%20(1).pdf,,,"At the same time, s/he can specify logins and passwords for access to the account or cryptocurrency. The lack of a password recovery mechanism could be a severe problem for the heirs and creditors of the deceased. For example, according to media reports, QuadrigaCX customers could lose $190 million invested in the cryptocurrency following CEO Gerald Cotten's death. According to the testimony of a surviving spouse, G. Cotten was the only key to getting the money. You have to admit that Cotten took a thorough approach to protect the information. The cold storage, versus its hot wallet, where the digital assets are stored, was not hacked during his lifetime and cannot be accessed now. In order to avoid such problems, if the holder of a digital asset abroad has the will, it is allowed to reflect a unique access code to the registry in his or her will. For example, under the Uniform Fiduciary Access to Digital Assets Act (FADA) in the US, there is a right for holders of digital assets to provide information to their custodians about the persons who are entitled to access these assets",,,,
2019,"Vučković, R. M., & Kanceljak, I. (2019). Does the Right to Use Digital Content Affect Our Digital Inheritance?. EU and comparative law issues and challenges series (ECLIC), 3, 724-746.",file:///Users/justingoldston/Downloads/9029-Article%20Text-30342-1-10-20190612%20(1).pdf,,,"Under the principle of universal succession, everything that belonged to decedent can belong to his or her heirs unless it is explicitly regulated otherwise or rights are strictly personal. In Croatian Law, the estate of inheritance “represents the totality of rights and obligations that belonged to the decedent at the time of death if they are inheritable and free for succession”.",,,,
2019,"Vučković, R. M., & Kanceljak, I. (2019). Does the Right to Use Digital Content Affect Our Digital Inheritance?. EU and comparative law issues and challenges series (ECLIC), 3, 724-746.",file:///Users/justingoldston/Downloads/9029-Article%20Text-30342-1-10-20190612%20(1).pdf,,,"Digital inheritance is not regulated by specific provisions in Croatian private law. Also, there are no special provisions applicable specifically to inheritance of data, digital content or legal position of any kind for contract of supply of digital content in Croatian private law. Therefore, only the general principles of universal succession may be applied to inheritance of user’s rights in digital world.",,,,
2019,"Vučković, R. M., & Kanceljak, I. (2019). Does the Right to Use Digital Content Affect Our Digital Inheritance?. EU and comparative law issues and challenges series (ECLIC), 3, 724-746.",file:///Users/justingoldston/Downloads/9029-Article%20Text-30342-1-10-20190612%20(1).pdf,,,"One of the ways for preventing the said problems could be a notarial deposit.80Public notary is obliged to take for deposit any kind of document.81 This means that a user of digital content and services can create a document with a list of his accounts along with a user name and a password. Public notary would have to make a note in a record that this deposit is made for client’s heirs or someone else who could claim the document after his death. On the one hand, user might feel unsecure with this kind of revelation of his important passwords. On the other hand, since passwords should be changed from time to time, by their change, the document given to the notary would lose its purpose. Since idea is to create legal effects mortis causa, the said problems could be resolved in the will. Both, private and public wills would be adequate to fit this purpose. However, the international wills82 would be even better especially in cases where Croatian private law might not be the applicable law. When it comes to the content of the will, testator can name a person as an executor of the will.83 The testator could entitle the will executor to transfer data to heirs or to legatee’s accounts or even to close accounts.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"It is estimated that in the future almost every deceased’s estate will include a digital component,3 thus the notion of inheritance estate should be expanded to encompass digital content, which should also be explicitely considered within estate planning instruments that also need to be adapted to this sort of assets",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"As a rule, such a general definition is complemented by an enumeration of typical digital contents in the form of an open-ended list that entails e-mail accounts, social and professional network accounts and content within those accounts, applications, collections of e-books, movies, music files, data stored on cloud services, web sites, domain names, online subscriptions with different services like Netflix or Amazon, e-tickets, online banking services, online investment accounts, money deposits e.g. on PayPal accounts, crypto currencies etc. Some of these assets have monetary value, others are „only” of personal value.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"It follows that digital assets that have monetary value, such as web sites or domains, online deposits, crypto currencies, etc., should be encompassed by the notion of inheritance estate in Bosnian-Herzegovinian law, but this notion does not exclude legal positions without financial value like photographs, video and audio recordings, text and messages etc., irrelevant whether they are in digital or analogue form.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"We become users of different internet services by concluding a contract with the provider of the service. Those contracts are mostly standardised within general Terms of Service which users accept uncritically, often unaware of their content. QUESTION: What about Dapps?",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"The picture of the approaches of individual legal systems to the issue of digital assets is fragmented. The differences are especially pronounced between European countries on the one hand, and the USA on the other. Only a small number of countries have enacted special legislation regarding digital assets, while others apply existing rules to this segment of property. The issues around digital assets and their inheritance are not regulated on the EU level,37 nor are the solutions of individual member states harmonised.38",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"The Court also took a position on the relationship between the testator’s heirs’ access to his data and the provisions of the General Data Protection Regulation (“GDPR”), noting that in German law the GDPR applies only to personal data of living individuals, as Germany did not opt to extend the protection after the death of the data subject.4",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"In the Netherlands, there are no special rules regarding the winding up of digital assets, so, generally, digital assets are inherited in the same way like all other assets",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"In Estonia, as according to German jurisprudence, digital assets are encompassed by the principle of universal succession.57 But, unlike Germany, Estonia provided for statutory protection of personal data post mortem.58 However, it is held that the data protection law does not entitle internet service providers to deny the heirs access to the accounts of the deceased.59",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"France, Italy and Spain have adopted special regulation. These countries have approached the issue of digital asset management from the aspect of data protection, placing new rules in the regulations implementing the GDPR in these countries and thus excluding the succession of digital assets from the general law on succession. All three states have expanded the scope of the rights guaranteed by the provisions of Articles 15–22 GDPR after the death of the data subject. The new regulations aim to strengthen the right to informational self-determination of data subjects,60 which also requires a proactive approach by the future decedent. In French law, in principle, data protection ceases with the death of the subject. In order to prevent this, i.e. in order to prolong its effect after death, the subject must appoint a person authorised to exercise those rights. For these purposes, the future decedent should make a digital will. In other words, he should issue an order, a directive, that can be general (directives générales) or specific (directives particulières), with the respective internet service provider.61 Those directives resemble the concept of advanced directives in case of incapacity.62 In Italy and Spain, the situation is reversed, the data subject must take active action to prevent the data from passing on to its successors. According to the new Italian regulations, if the data subject does not want his heirs, close relatives, or trustees and other persons with a legitimate interest, to exercise the right of data protection after his death, he must explicitly exclude, prohibit or limit it by a written statement that has the characteristics of a power of attorney or agency contract with effects after death (mandatum ad mortem exequendum).63 Such statement must be clear, specific, given freely, and informed.64 It follows that the exclusion of inheritability under the general terms of the contract does not meet the above criteria. Thus, similarly to Germanic countries, the countries belonging to the Roman legal circle seek to limit the influence of standard contractual clauses on the right to informational self-determination.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"There is still no regulation in the UK that would clearly regulate this area, although there is an intention to regulate it following the models of France and the United States.65 At the moment, in the absence of clear guidelines, the situation seems rather complicated. The protection of personal rights and personal data ends with death and does not extend post mortem, so in the UK the treatment of digital assets post mortem is not viewed from the aspect of data protection, although some authors actively advocate this approach to strengthen post mortem privacy protection.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"USA, the effort to approach the issues of treatment of digital property after death in a uniform way resulted in the adoption of the so-called Revised Uniform Fiduciary Access to Digital Assets Act (RUFADAA) 2015, which is implemented in almost all states.70 Although originally the task of the Uniform Law Commission that worked on this regulation was to balance the obligations of fiduciaries who are otherwise in charge of managing the deceased’s inheritance and have appropriate powers in relation to his digital legacy,71 on the one hand, against the internet service provides’ aspiration to protect privacy of their users, on the other hand, the final text is strongly influenced by the internet industry lobby.72 Digital assets in the United States represent a special category, different from the analogue assets of the deceased. The basic rule stipulates that the internet service provider is not obliged to transfer data to the user’s heirs, unless the user has explicitly agreed to this transfer, which indicates the obligation of active user action.73 Priority is given to user preferences expressed within online tools, i.e. mechanisms that providers themselves make available to their users and through which they can appoint a fiduciary to be given access to data after death or to instruct the provider to delete data, such as Google’s Inactive Account Manager or Facebook’s Legacy Contact. Such directions expressed within online tools even prevail in case of conflict with directions given in wills, trusts, or powers of attorney,74 which indicates that contractual rules prevail over succession law rules. If the user did not give instructions in any of these forms, the general conditions of use of the provider apply, and only if they do not regulate this issue, the rules provided in RUFADAA apply.75 Instructions issued within the online tool of the platform have priority in case of a conflicting disposition in the will or power of attorney, provided that the online tool allows the user to change or revoke such instruction at any time.76 Contrary to European countries that seek to suppress the practice of contractual exclusion of inheritability under standard contractual clauses, in the United States these solutions are viewed favorably.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"Digital property and its fate after the death of their holder are not topics that have been dealt with by domestic doctrine or practice to date. From the above overview of some comparative legal solutions, certain recommendations can be drawn that could be applied in Bosnia and Herzegovina (hereinafter: B&H) as well. In the absence of special regulation, and having in mind the tardiness of the legislative apparatus, the German approach seems suitable for our environment, as well. This approach seems adequate in view of the similarities in substantive law.",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"Accurate digital estate planning supposes at least three main segments: the indentification of digital assets, the facilitation of access to digital assets and the determination and implementation of the deceased’s wishes.89",,,,
2021,"Kadenić, D. S. PLANNING FOR A DIGITAL DEATH. PROPERTY LAW–CHALLENGES OF THE 21 CENTURY st, 33. (REVISE REFERENCE)",file:///Users/justingoldston/Downloads/1178634.Proceedings_Property-Law-Conference-_Challenges-of-21st-Centuryv2.pdf,,,"Traditional estate planning instruments like the traditional will are not well equipped for the transfer of digital assets, because they are not tailored to the characteristics of this type of assets. The biggest flaw of the will in this context lies in the fact that wills are declared publicly, thus the login credentials and other information regarding the deceased’s digital assets would become public, too. However, it is possible to refer to digital assets within a traditional will and, for example, to state where the login credentials are stored and who should get access to them, albeit being aware of the possible breach of contract caused by such action. The document with the credentials should itself be created separately and stored with a notary, or in another safe place. Also, the testator could advise the chosen heirs how to proceed with his digital assets. He could further nominate an executor regarding digital assets and give detailed instructions how to proceed with individual digital assets",,,,
2019,"Patti, F. P., & Bartolini, F. (2019). Digital Inheritance and Post Mortem Data Protection: The Italian Reform. European Review of Private Law (ERPL), Forthcoming, Bocconi Legal Studies Research Paper, (3397974).",https://d1wqtxts1xzle7.cloudfront.net/60983813/ERPL201906420191022-102644-17qjyc5-with-cover-page-v2.pdf?Expires=1668484403&Signature=BfLWl7Xb7zEkIs2onPAevUZOc7GT5MBEUUeuemp6-e3FXjmtmuqA7iy2h8Mee1I9X8fspR0HnZMQZopfMDnVN~kCjzEF7eEQFp7UOrzDGnfm97aZv6ig0xgW9bRY8BH64dovMBcY03jB-YJDcRnZaezfpei6OYbKte1BO9LzKwpsaXMH2WB97gFw~VBJzeUhvj3JPARs2hEz2suuXkI~c2md8bgh8dqxuitfZnWEHIXwL2XHeny~U3cEFP2yGxSMOs767WeHOX-~CiLhMoGMVYpLjjRtcMhuQ71UrVl92ySPIjxTNZ2nzhqpLi9qXl-v~eDpE~oXRJi1KdLxcu0isw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,It must beIt must be pointed out that there is no available Italian case law on matters related to digital inheritance. pointed out that there is no available Italian case law on matters,,,,
2019,"Patti, F. P., & Bartolini, F. (2019). Digital Inheritance and Post Mortem Data Protection: The Italian Reform. European Review of Private Law (ERPL), Forthcoming, Bocconi Legal Studies Research Paper, (3397974).",https://d1wqtxts1xzle7.cloudfront.net/60983813/ERPL201906420191022-102644-17qjyc5-with-cover-page-v2.pdf?Expires=1668484403&Signature=BfLWl7Xb7zEkIs2onPAevUZOc7GT5MBEUUeuemp6-e3FXjmtmuqA7iy2h8Mee1I9X8fspR0HnZMQZopfMDnVN~kCjzEF7eEQFp7UOrzDGnfm97aZv6ig0xgW9bRY8BH64dovMBcY03jB-YJDcRnZaezfpei6OYbKte1BO9LzKwpsaXMH2WB97gFw~VBJzeUhvj3JPARs2hEz2suuXkI~c2md8bgh8dqxuitfZnWEHIXwL2XHeny~U3cEFP2yGxSMOs767WeHOX-~CiLhMoGMVYpLjjRtcMhuQ71UrVl92ySPIjxTNZ2nzhqpLi9qXl-v~eDpE~oXRJi1KdLxcu0isw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,"within the package of GDPR articles that are applicable to protecting the data of deceased persons, the importance of the right to data portability. Art. 20 GDPR: ‘the data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machinereadable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided. QUESTION: IS THIS APPLICABLE TO CRYPTO AND NFTS?",,,,
2019,"Patti, F. P., & Bartolini, F. (2019). Digital Inheritance and Post Mortem Data Protection: The Italian Reform. European Review of Private Law (ERPL), Forthcoming, Bocconi Legal Studies Research Paper, (3397974).",https://d1wqtxts1xzle7.cloudfront.net/60983813/ERPL201906420191022-102644-17qjyc5-with-cover-page-v2.pdf?Expires=1668484403&Signature=BfLWl7Xb7zEkIs2onPAevUZOc7GT5MBEUUeuemp6-e3FXjmtmuqA7iy2h8Mee1I9X8fspR0HnZMQZopfMDnVN~kCjzEF7eEQFp7UOrzDGnfm97aZv6ig0xgW9bRY8BH64dovMBcY03jB-YJDcRnZaezfpei6OYbKte1BO9LzKwpsaXMH2WB97gFw~VBJzeUhvj3JPARs2hEz2suuXkI~c2md8bgh8dqxuitfZnWEHIXwL2XHeny~U3cEFP2yGxSMOs767WeHOX-~CiLhMoGMVYpLjjRtcMhuQ71UrVl92ySPIjxTNZ2nzhqpLi9qXl-v~eDpE~oXRJi1KdLxcu0isw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,"Also, according to Italian law, the contractual relationship between the deceased and the platform falls within the concept of universal succession. QUESTION: HOW DOES THIS WORK FOR DECENTRALIZED APPLICATIONS. ITALIAN LAW IS MOSTLY CENTERED AROUND SOCIAL MEDIA AND THE DELETING OF CONTENTS ON SOCIAL MEDIA ACCOUNTS.",,,,
2014,"SAVITSKAYA, K., & BAHANENKA, V. (2014). ACTUAL PROBLEMS OF DIGITAL INHERITANCE. Publishing Board: Prof. Dzmitry Lazouski (chairperson); Dr. Dzmitry Hlukhau (vice-chairperson); Mr. Siarhei Piashkun (vice-chairperson), 86.",https://elib.psu.by:8080/bitstream/123456789/2779/1/2014_%D0%BA%D0%BE%D0%BD%D1%84_%D0%BC_%D1%83_%D0%A21.pdf#page=86,,,"ICT systems are seldom designed to cater for user death. They do not enable users to nominate inheritors of their data, even though this data may have emotional, financial or intellectual significance to the bereaved. Approaches to this issue between different ISPs and social networks are not consistent. Besides, the problem is complicated due to the fact that the will of digital assets is not acceptable in most countries, except some individual states in the USA.", ,,,
2021,"Paulger, M. (2021). In the Crypt: The Importance of Planning for Distribution of Cryptocurrency Assets after Death. Est. Plan. & Cmty. Prop. LJ, 14, 621.",file:///Users/justingoldston/Downloads/36484-mariah-paulger-in-the-crypt-the-importance-of-planning-for-distribution-of-cryptocurrency-assets-after-death%20(1).pdf,,,"The U.S. has not released a clear classification of crypto as an asset class; however, different regulatory organizations have different views of how it should be classified.214 For example, the SEC views crypto as a security in certain instances, the Commodity Futures Trading Commission The U.S. has not released a clear classification of crypto as an asset class; however, different regulatory organizations have different views of how it should be classified.214 For example, the SEC views crypto as a security in certain instances, the Commodity Futures Trading Commission",,,,
2021,"Paulger, M. (2021). In the Crypt: The Importance of Planning for Distribution of Cryptocurrency Assets after Death. Est. Plan. & Cmty. Prop. LJ, 14, 621.",file:///Users/justingoldston/Downloads/36484-mariah-paulger-in-the-crypt-the-importance-of-planning-for-distribution-of-cryptocurrency-assets-after-death%20(1).pdf, ,,"There is currently no uniformity on how states handle businesses that deal in virtual currencies.234 Some states have not provided any guidance or regulations for crypto, some have guided handling and transmitting, some have provided “friendly” regulations, and some have implemented heavy regulations.235 Some regulations can require a license to transmit crypto,",,,,
2021,"Paulger, M. (2021). In the Crypt: The Importance of Planning for Distribution of Cryptocurrency Assets after Death. Est. Plan. & Cmty. Prop. LJ, 14, 621.",file:///Users/justingoldston/Downloads/36484-mariah-paulger-in-the-crypt-the-importance-of-planning-for-distribution-of-cryptocurrency-assets-after-death%20(1).pdf, ,,,,,,
2021,"Paulger, M. (2021). In the Crypt: The Importance of Planning for Distribution of Cryptocurrency Assets after Death. Est. Plan. & Cmty. Prop. LJ, 14, 621.",file:///Users/justingoldston/Downloads/36484-mariah-paulger-in-the-crypt-the-importance-of-planning-for-distribution-of-cryptocurrency-assets-after-death%20(1).pdf, ,,"Do you own any cryptocurrency or blockchain related assets? If so, please list the various types of cryptocurrencies you own (Bitcoin, NFTs, etc.).324 · Please list every platform, exchange, or hot and cold wallets that your cryptocurrency may be stored on.325 · Are any of your cryptocurrencies currently staked? Please list the different cryptocurrencies you have staked and the percentage of each cryptocurrency that is staked.326 Are any of your cryptocurrencies involved on a DeFi platform or have you lent U.S. Dollars on a DeFi platform?327 · How are you currently preserving your private keys and passwords?328",,,,
2021,"Paulger, M. (2021). In the Crypt: The Importance of Planning for Distribution of Cryptocurrency Assets after Death. Est. Plan. & Cmty. Prop. LJ, 14, 621.",file:///Users/justingoldston/Downloads/36484-mariah-paulger-in-the-crypt-the-importance-of-planning-for-distribution-of-cryptocurrency-assets-after-death%20(1).pdf, ,,"In addition to instructions, Scarlet must also provide express permission for the executor or fiduciary of her estate to have access to all her accounts.343 This permission is essential due to the Revised Uniform Fiduciary Access to Digital Assets Act (RUFADAA), which requires individuals to provide express consent to a fiduciary or executor to access digital accounts or assets.344 Estate planners must advise their clients to include this consent for access to their clients’ crypto accounts.",,,,
2021,"Paulger, M. (2021). In the Crypt: The Importance of Planning for Distribution of Cryptocurrency Assets after Death. Est. Plan. & Cmty. Prop. LJ, 14, 621.",file:///Users/justingoldston/Downloads/36484-mariah-paulger-in-the-crypt-the-importance-of-planning-for-distribution-of-cryptocurrency-assets-after-death%20(1).pdf, ,,"assets in a trust, this arrangement could potentially help with tax planning, but there are some steps she must follow to ensure that her crypto assets are not sold while in the trust.357 Under the Uniform Prudent Investor Act (UPIA), which many states have adopted in some form, a trustee has a duty to manage the assets within a trust account in a reasonable manner.358",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,," Web3 today centers around expressing transferable, nancialized assets, rather than encoding social relationships of trust. Yet many core economic activities—such as uncollateralized lending and building personal brands—are built on persistent, non-transferable relationships. 

we illustrate how non-transferable “soulbound” tokens (SBTs) representing the commitments, credentials, and aliations of “Souls” can encode the trust networks of the real economy to establish provenance and reputation.

Even more promising, we highlight how native web3 social identity, with rich social composability, could yield great progress on broader long-standing problems in web3 around wealth concentration and vulnerability of governance to nancial attacks, while spurring a Cambrian explosion of innovative political, economic, and social applications.",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,,"
We refer to these use cases and the richer pluralistic ecosystem that they enable as “Decentralized Society” (DeSoc).
We begin by explaining the primitives of DeSoc, centered around accounts (or wallets) holding non-transferable (initially public) “soulbound” tokens (SBTs) representing commitments, credentials, and aliations. Such tokens would be like an extended resume, issued by other wallets that attest to these social relations.
primitives could
● ● ● ● ● ●
empower, including:
establishing provenance
unlocking undercollateralized lending markets through reputation enabling decentralized key management
thwarting and compensating for coordinated strategic behavior measuring decentralization
creating novel markets with decomposable, shared rights and permissions",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,,"Our key primitive is accounts, or wallets, that hold publicly visible, non-transferable (but possibly revocable-by-the-issuer) tokens.5 We refer to the accounts as “Souls” and tokens held by the accounts as “Soulbound Tokens” (SBTs).

these SBTs can be “self-certied,” similar to how we share information about ourselves in our CVs. But the true power of this mechanism emerges when SBTs held by one Soul can be issued—or attested—by other Souls, who are counterparties to these relationships. These counterparty Souls could be individuals, companies, or institutions. ",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,,"Social recovery is an emerging alternative that relies on a person’s trusted relationships. SBTs allow a similar, but broader paradigm: community recovery, where the Soul is the intersectional vote of its social network.
Social recovery is a good starting point for security, but has several drawbacks in security and usability. A user curates a set of “guardians'' and gives them the power, by majority, to change the keys of their wallet. Guardians could be a mix of individuals, institutions, or other wallets. The problem is a user must balance the desire for a reasonably high number of guardians against the precaution that guardians be from discrete social circles to avoid collusion. Also, guardians can pass away, relationships sour, or people simply fall out of touch, requiring frequent and attention-taxing updates. While social recovery avoids a single point of failure, successful recovery nonetheless depends on curating and maintaining trusted relationships with a majority of guardians.
",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,,"Self-sovereign identity” advocates tend to treat data as private property: data about this interaction is mine and so I should be able to choose when and to whom to reveal it. However, even more than in the physical economy, the data economy is poorly understood in terms of simple private property. 

Rather than privacy-as-transferable-property-right, a more promising approach is to treat privacy as a programmable, loosely coupled bundle of rights to permission access, alter or profit from information. Under such a paradigm, every SBT—such as an SBT that represents a credential or access to a data store—would ideally also have an implied programmable property right specifying access to the underlying information constituting the SBT: the holders, the agreements between them, the shared property (e.g., data), and obligations to 3rd parties. For example, some issuers would choose to make SBTs wholly public. Some SBTs, such as a passport or health record, would be private in the self-sovereign sense,
 with unilateral rights to disclose by Souls who carry the SBT.
",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,,"One powerful set of building blocks that enables new ways to partially reveal data is a branch of cryptography called “zero knowledge proofs.” While zero knowledge proofs are most frequently used today to enable privacy-preserving transfers of assets, they also can allow people to prove arbitrary statements without revealing any more information beyond the statement itself. For example, in a world where government documents and other attestations are cryptographically provable, someone could prove a statement like 
",,,,
2022,"Weyl, E. G., Ohlhaver, P., & Buterin, V. (2022). Decentralized Society: Finding Web3's Soul. Available at SSRN 4105763.",https://wrenchinthegears.com/wp-content/uploads/2022/05/Vitalek-Buterin-Soulbound-Token-Paper-May-2022.pdf,Soulbound tokens,,"Proof of Personhood protocols (PoP) aim to provide tokens of individual uniqueness, to prevent Sybil attacks and allow non-nancialized applications. To do so, they rely on approaches such as global analysis of social graphs, biometrics, simultaneous global key parties, or some combination thereof. However, because PoP protocols seek to represent individual identities—-focused on achieving global uniqueness—rather than social identities mapping relationships and solidarities, PoP protocols are limited to applications that treat all humans the same. Most applications we are interested in—such as staking reputation—are relational and move beyond being a unique human to being a differentiated human.

Moreover, PoP protocols are not immune to sybil attacks. In almost all near-term foreseeable applications, PoP systems are eectively open to Sybil attacks, just at a slightly higher cost. Unless most people on the planet are registered for a PoP service and are participating in a particular validation exercise, an attacker can always recruit disinterested humans who are not yet participating to act as Sybils. While such mercenaries are not quite bots, the dierence is supercial other than perhaps a small added expense.

",,,,
,Argent (cite),,,,"When we launched in 2018 we pioneered social recovery. This lets you recover your wallet using guardians, meaning people or devices you trust, such as a family member or a hardware wallet. 

Guardians are on-chain and made possible by smart contracts. They’re much easier to use and more secure than crypto’s default alternative, seed phrases. 

The downside to social recovery though is that, as it's on-chain, it requires gas. These gas fees have soared due to Ethereum’s rising popularity. It regularly now costs over $100 to recover a wallet.
We’ve therefore built an alternative recovery method. One that’s also highly secure, simple to use, and fully non-custodial. 
It's opt-in for existing users; future users get the option automatically. Both existing and future users can continue to use the older method if they prefer (they'll have to pay the gas fee though). 
",,,,
